"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"A1";"2.47GHz";"SMD_Chip-Antenna_7020_(SLDA72-2R470G-S1TF)";"-70.5000";"45.1000";"90";"TopLayer"
"C1";"100µF";"SMD_Tantalkondensator_1210_+";"-62.4000";"29.0000";"0";"TopLayer"
"C2";"10µF";"SMD_Keramikkondensator_1206";"-66.3000";"36.9000";"0";"TopLayer"
"C3";"1µF";"SMD_Keramikkondensator_0603";"-65.3000";"39.7000";"0";"TopLayer"
"C4";"1µF";"SMD_Keramikkondensator_0603";"-56.2000";"45.5000";"270";"TopLayer"
"C5";"1µF";"SMD_Keramikkondensator_0603";"-58.6000";"32.0000";"90";"TopLayer"
"C6";"1µF";"SMD_Keramikkondensator_0603";"-65.2000";"45.5000";"270";"TopLayer"
"C7";"1µF";"SMD_Keramikkondensator_0603";"-64.0000";"45.5000";"270";"TopLayer"
"C8";"1µF";"SMD_Keramikkondensator_0603";"-65.3000";"38.5000";"0";"TopLayer"
"C9";"1µF";"SMD_Keramikkondensator_0603";"-64.2000";"32.0000";"90";"TopLayer"
"C10";"1pF";"SMD_Keramikkondensator_0402";"-66.0500";"42.0750";"90";"TopLayer"
"C11";"1pF";"SMD_Keramikkondensator_0402";"-63.2500";"42.0750";"90";"TopLayer"
"C12";"15pF";"SMD_Keramikkondensator_0603";"-62.8000";"45.5000";"90";"TopLayer"
"C13";"15pF";"SMD_Keramikkondensator_0603";"-60.5000";"47.5000";"180";"TopLayer"
"C14";"1µF";"SMD_Keramikkondensator_0603";"-52.0000";"37.1000";"180";"TopLayer"
"C15";"100nF";"SMD_Keramikkondensator_0603";"-52.0000";"35.9000";"180";"TopLayer"
"C16";"1µF";"SMD_Keramikkondensator_0603";"-61.5000";"32.0000";"90";"TopLayer"
"C17";"1µF";"SMD_Keramikkondensator_0603";"-35.6000";"55.5000";"90";"TopLayer"
"C18";"1µF";"SMD_Keramikkondensator_0603";"-38.1000";"55.5000";"270";"TopLayer"
"C19";"100nF";"SMD_Keramikkondensator_0603";"-36.9000";"55.5000";"270";"TopLayer"
"C20";"10µF";"SMD_Keramikkondensator_1206";"-41.5000";"47.0000";"90";"TopLayer"
